PEDIGREE,Site,Yield,DY,PHT
A05071/EON361,18RF,4.105,67,128.8
A05071/R07178,18RF,4.508,66,132.8
A05071/R08304,18RF,6.407,65,140.5
A05071/RARCH11001,18RF,2.987,62,118.6
A05071/RARCH11002,18RF,3.204,64,130.3
A05071/RARCH11028,18RF,2.511,64,113.5
A05071/RARCH11055,18RF,4.386,73,122.7
A05071/RARCH11056,18RF,5.564,70,121.2
A05071/RTx436,18RF,4.801,67,129.5
A05071/RTx437,18RF,4.806,63,125.2
A08140/EON361,18RF,4.466,69,114.3
A08140/R07178,18RF,3.741,68,118.6
A08140/R08304,18RF,6.001,64,132.8
A08140/RARCH11001,18RF,3.138,63,109.2
A08140/RARCH11002,18RF,2.504,64,119.4
A08140/RARCH11028,18RF,4.065,67,104.9
A08140/RARCH11055,18RF,3.897,74,111.8
A08140/RARCH11056,18RF,3.61,71,120.1
A08140/RTx436,18RF,4.299,67,117.6
A08140/RTx437,18RF,4.29,64,115.1
AARCH11051/EON361,18RF,4.384,70,109.2
AARCH11051/R07178,18RF,5.691,69,119.4
AARCH11051/R08304,18RF,6.2,68,127.8
AARCH11051/RARCH11001,18RF,4.408,64,111.8
AARCH11051/RARCH11002,18RF,3.937,65,111.8
AARCH11051/RARCH11028,18RF,2.743,65,106.7
AARCH11051/RARCH11055,18RF,4.846,72,114.3
AARCH11051/RARCH11056,18RF,5.102,71,111.8
AARCH11051/RTx436,18RF,4.32,66,117.6
AARCH11051/RTx437,18RF,5.306,65,124.5
AARCH11129/EON361,18RF,5.053,71,122.7
AARCH11129/R07178,18RF,4.766,72,125.2
AARCH11129/R08304,18RF,5.342,70,137.2
AARCH11129/RARCH11001,18RF,3.282,65,116.1
AARCH11129/RARCH11002,18RF,3.268,69,124.5
AARCH11129/RARCH11028,18RF,3.612,66,108.5
AARCH11129/RARCH11055,18RF,3.169,74,117.6
AARCH11129/RARCH11056,18RF,4.995,72,120.1
AARCH11129/RTx436,18RF,4.691,67,128.8
AARCH11129/RTx437,18RF,4.438,66,133.9
AARCH11136/EON361,18RF,4.101,72,119.4
AARCH11136/R07178,18RF,4.431,65,136.4
AARCH11136/R08304,18RF,3.8,65,139.7
AARCH11136/RARCH11001,18RF,2.453,63,116.8
AARCH11136/RARCH11002,18RF,2.215,64,133.9
AARCH11136/RARCH11028,18RF,1.825,64,121.9
AARCH11136/RARCH11055,18RF,4.629,73,124.5
AARCH11136/RARCH11056,18RF,4.74,71,130.3
AARCH11136/RTx436,18RF,3.777,64,130.3
AARCH11136/RTx437,18RF,3.326,66,128.8
AARCH11146/EON361,18RF,5.558,70,127.8
AARCH11146/R07178,18RF,5.454,69,121.9
AARCH11146/R08304,18RF,4.828,68,135.4
AARCH11146/RARCH11001,18RF,3.693,64,108.5
AARCH11146/RARCH11002,18RF,4.079,63,130.3
AARCH11146/RARCH11028,18RF,3.791,66,114.3
AARCH11146/RARCH11055,18RF,4.534,75,113.5
AARCH11146/RARCH11056,18RF,4.832,72,123.7
AARCH11146/RTx436,18RF,5.056,65,128.8
AARCH11146/RTx437,18RF,5.435,65,127.8
AHF14/EON361,18RF,4.249,74,112.5
AHF14/R07178,18RF,5.268,70,120.1
AHF14/R08304,18RF,6.179,66,123.7
AHF14/RARCH11001,18RF,3.984,64,115.1
AHF14/RARCH11002,18RF,3.49,68,121.2
AHF14/RARCH11028,18RF,3.333,65,105.9
AHF14/RARCH11055,18RF,4.488,74,111
AHF14/RARCH11056,18RF,5.664,72,108.5
AHF14/RTx436,18RF,4.879,67,118.6
AHF14/RTx437,18RF,4.926,66,110
AKS118/EON361,18RF,2.992,72,112.5
AKS118/R07178,18RF,4.781,70,121.2
AKS118/R08304,18RF,5.566,65,126.2
AKS118/RARCH11001,18RF,NA,NA,NA
AKS118/RARCH11002,18RF,3.116,65,117.6
AKS118/RARCH11028,18RF,2.745,66,113.5
AKS118/RARCH11055,18RF,3.975,74,116.8
AKS118/RARCH11056,18RF,6.13,69,115.1
AKS118/RTx436,18RF,4.036,65,130.3
AKS118/RTx437,18RF,4.99,65,123.7
ATx3408/EON361,18RF,4.875,73,118.6
ATx3408/R07178,18RF,5.808,75,127.8
ATx3408/R08304,18RF,5.766,69,138.9
ATx3408/RARCH11001,18RF,3.075,68,118.6
ATx3408/RARCH11002,18RF,3.653,69,133.9
ATx3408/RARCH11028,18RF,3.113,70,104.9
ATx3408/RARCH11055,18RF,4.517,75,122.7
ATx3408/RARCH11056,18RF,4.925,75,121.2
ATx3408/RTx436,18RF,3.31,72,132.1
ATx3408/RTx437,18RF,4.814,69,133.9
ATx645/EON361,18RF,4.073,69,124.5
ATx645/R07178,18RF,5.293,67,127
ATx645/R08304,18RF,5.049,66,130.3
ATx645/RARCH11001,18RF,3.337,64,117.6
ATx645/RARCH11002,18RF,2.575,66,126.2
ATx645/RARCH11028,18RF,3.078,63,112.5
ATx645/RARCH11055,18RF,4.654,72,121.2
ATx645/RARCH11056,18RF,4.139,69,121.2
ATx645/RTx436,18RF,4.212,65,125.2
ATx645/RTx437,18RF,5.599,65,132.1
A05071/EON361,18VC,5.433,67,128.8
A05071/R07178,18VC,6.107,68,134.6
A05071/R08304,18VC,6.441,67,144
A05071/RARCH11001,18VC,5.263,64,121.2
A05071/RARCH11002,18VC,5.3,68,132.1
A05071/RARCH11028,18VC,4.99,66,122.7
A05071/RARCH11055,18VC,5.329,70,133.9
A05071/RARCH11056,18VC,5.142,69,129.5
A05071/RTx436,18VC,5.691,69,130.3
A05071/RTx437,18VC,5.68,65,128.8
A08140/EON361,18VC,5.297,64,122.7
A08140/R07178,18VC,5.76,66,126.2
A08140/R08304,18VC,6.385,66,130.3
A08140/RARCH11001,18VC,5.02,61,111
A08140/RARCH11002,18VC,5.107,64,118.6
A08140/RARCH11028,18VC,4.281,64,107.4
A08140/RARCH11055,18VC,5.047,68,125.2
A08140/RARCH11056,18VC,4.881,67,120.1
A08140/RTx436,18VC,5.123,67,123.7
A08140/RTx437,18VC,5.321,63,118.6
AARCH11051/EON361,18VC,4.914,68,119.4
